"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
8.792074480E-1;1.054610871E-2;-2.176366597E-1;5.962479487E-2
8.841316660E-1;7.350317203E-3;-2.059187740E-1;3.405847400E-2
8.890558330E-1;9.587369859E-4;-1.920703501E-1;1.168793812E-2
8.939800000E-1;-1.715074293E-2;-1.718303412E-1;-6.421541795E-3
8.989041660E-1;-3.845601529E-2;-1.526555866E-1;-2.666155063E-2
9.038334890E-1;-5.550023168E-2;-1.345461160E-1;-4.370576516E-2
9.087576560E-1;-6.189180911E-2;-1.132408381E-1;-6.181524321E-2
9.136818750E-1;-6.508760154E-2;-9.300082922E-2;-7.885946333E-2
9.186060410E-1;-6.402233988E-2;-7.382608950E-2;-9.377315640E-2
9.235302080E-1;-6.082654744E-2;-5.145555735E-2;-1.033605263E-1
9.284543750E-1;-5.443496257E-2;-3.867239505E-2;-1.044257879E-1
9.333841660E-1;-4.591286182E-2;-3.121555038E-2;-1.065563112E-1
9.383083330E-1;-3.419496119E-2;-2.801975980E-2;-1.097521037E-1
9.432325520E-1;-3.206443042E-2;-2.801975980E-2;-1.108173653E-1
9.481567190E-1;-4.165180027E-2;-3.015028685E-2;-1.108173653E-1
9.530808850E-1;-5.976127833E-2;-3.441134095E-2;-1.076215804E-1
9.580050520E-1;-8.319707960E-2;-3.867239505E-2;-1.022952646E-1
9.629413020E-1;-1.055676192E-1;-4.186818376E-2;-9.696894139E-2
9.678654690E-1;-1.183507740E-1;-4.825976491E-2;-8.951210231E-2
9.727896870E-1;-1.215465665E-1;-5.997766554E-2;-7.672893256E-2
9.777138020E-1;-1.194160357E-1;-6.636924297E-2;-6.288050860E-2
9.826380210E-1;-1.204813048E-1;-6.743451208E-2;-5.009734631E-2
9.875621870E-1;-1.226118281E-1;-6.530398130E-2;-3.944471106E-2
9.924933330E-1;-1.321992129E-1;-5.891240016E-2;-3.198786452E-2
9.974175000E-1;-1.471128911E-1;-4.719450325E-2;-2.559628896E-2
1.002341719E0;-1.684181541E-1;-3.015028685E-2;-2.453102358E-2
1.007265885E0;-1.843971163E-1;-1.097554341E-2;-1.813944243E-2
1.012190052E0;-1.907887012E-1;9.264463559E-3;-8.552068844E-3
1.017114219E0;-1.758750081E-1;3.483078629E-2;1.035302761E-3
1.022045521E0;-1.567002684E-1;6.252764165E-2;4.231093451E-3
1.026970625E0;-1.332644671E-1;8.489816636E-2;3.165829927E-3
1.031895677E0;-1.183507740E-1;1.030076519E-1;5.296356976E-3
1.036820781E0;-1.140897200E-1;1.232476607E-1;8.492147550E-3
1.041745833E0;-1.258076280E-1;1.349655539E-1;7.426884025E-3
1.046670885E0;-1.353949904E-1;1.413571388E-1;6.361620501E-3
1.051598802E0;-1.396560371E-1;1.413571388E-1;6.361620501E-3
1.056523906E0;-1.364602596E-1;1.349655539E-1;5.296356976E-3
1.061448958E0;-1.258076280E-1;1.221823916E-1;5.296356976E-3
1.066374062E0;-1.183507740E-1;1.083339676E-1;5.296356976E-3
1.071299114E0;-1.204813048E-1;9.342028201E-2;6.361620501E-3
1.076224166E0;-1.311339289E-1;7.424553484E-2;8.492147550E-3
1.081151562E0;-1.417865753E-1;5.187500268E-2;1.062267460E-2
1.086076666E0;-1.524392217E-1;1.991709881E-2;1.168793812E-2
1.091001719E0;-1.609613299E-1;-1.204080693E-2;2.127530985E-2
1.095926823E0;-1.620265841E-1;-4.080292210E-2;3.512373567E-2
1.100851875E0;-1.620265841E-1;-7.382608950E-2;4.577637091E-2
1.105776927E0;-1.609613299E-1;-1.036534682E-1;5.323321745E-2
1.110704114E0;-1.598960459E-1;-1.228282079E-1;6.069006026E-2
1.115629219E0;-1.684181541E-1;-1.302850693E-1;7.666900754E-2
1.120554271E0;-1.748097390E-1;-1.292197853E-1;9.477848560E-2
1.125479375E0;-1.780055314E-1;-1.175018921E-1;1.033006012E-1
1.130404427E0;-1.662876308E-1;-9.726189077E-2;1.075616553E-1
1.135329479E0;-1.396560371E-1;-7.808714360E-2;1.150184944E-1
1.140286250E0;-1.076981425E-1;-5.571661144E-2;1.224753410E-1
1.145211354E0;-7.680550218E-2;-3.121555038E-2;1.320627183E-1
1.150136406E0;-5.656549335E-2;-4.583962262E-3;1.459111422E-1
1.155061510E0;-4.378233105E-2;2.417815290E-2;1.597595811E-1
1.159986562E0;-3.099916689E-2;5.294026807E-2;1.714774668E-1
1.164911614E0;-2.354232408E-2;8.276764303E-2;1.778690517E-1
1.169835677E0;-2.460758761E-2;1.147255450E-1;1.853258908E-1
1.174760781E0;-3.099916689E-2;1.413571388E-1;1.895869523E-1
1.179685833E0;-4.165180027E-2;1.605318934E-1;1.927827448E-1
1.184610937E0;-5.443496257E-2;1.797066182E-1;1.938479990E-1
1.189535989E0;-6.508760154E-2;1.924897879E-1;1.991743296E-1
1.194461041E0;-6.934865564E-2;1.988813728E-1;2.002395838E-1
1.199360364E0;-7.467497140E-2;2.031424195E-1;1.981090605E-1
1.204285469E0;-8.213181794E-2;2.063382119E-1;2.002395838E-1
1.209210521E0;-9.704551101E-2;2.042076737E-1;2.002395838E-1
1.214135625E0;-1.066328809E-1;1.999466270E-1;2.013048530E-1
1.219060677E0;-1.130244583E-1;1.967508346E-1;1.991743296E-1
1.223985729E0;-1.151549891E-1;1.860982031E-1;1.927827448E-1
1.228902187E0;-1.098286733E-1;1.807719022E-1;1.810648441E-1
1.233827291E0;-1.045023501E-1;1.722497791E-1;1.725427359E-1
1.238752344E0;-1.013065651E-1;1.647929400E-1;1.597595811E-1
1.243677396E0;-1.045023501E-1;1.584013551E-1;1.384542882E-1
1.248602500E0;-1.108939350E-1;1.498792619E-1;1.150184944E-1
1.253527552E0;-1.204813048E-1;1.434876770E-1;9.371322393E-2
1.258468541E0;-1.290034056E-1;1.392266005E-1;7.027743012E-2
1.263393646E0;-1.364602596E-1;1.381613463E-1;4.471110553E-2
1.268318698E0;-1.428518444E-1;1.370960921E-1;2.234057151E-2
1.273243802E0;-1.417865753E-1;1.370960921E-1;4.231093451E-3
1.278168802E0;-1.343297362E-1;1.402918845E-1;-9.617332369E-3
1.283093906E0;-1.311339289E-1;1.424223930E-1;-1.920470409E-2
1.288027969E0;-1.268728822E-1;1.488139778E-1;-2.666155063E-2
1.292953073E0;-1.162202507E-1;1.541403085E-1;-3.837944940E-2
1.297878125E0;-1.098286733E-1;1.562708467E-1;-4.796681926E-2
1.302803177E0;-1.076981425E-1;1.584013551E-1;-5.542366579E-2
1.307728229E0;-1.119591966E-1;1.615971476E-1;-5.968471989E-2
1.312653333E0;-1.130244583E-1;1.605318934E-1;-6.288050860E-2
1.317598854E0;-1.108939350E-1;1.605318934E-1;-6.074998155E-2
1.322523906E0;-1.076981425E-1;1.562708467E-1;-5.968471989E-2
1.327448958E0;-9.278445691E-2;1.488139778E-1;-5.968471989E-2
1.332374062E0;-7.787076384E-2;1.402918845E-1;-5.648892745E-2
1.337299114E0;-7.147918642E-2;1.317697614E-1;-5.648892745E-2
1.342224166E0;-8.000128716E-2;1.189865991E-1;-5.542366579E-2
1.347124531E0;-9.598024935E-2;1.051381826E-1;-5.329313502E-2
1.352049635E0;-1.108939350E-1;8.702870458E-2;-5.435839668E-2
1.356974687E0;-1.204813048E-1;6.891921908E-2;-6.074998155E-2
1.361899791E0;-1.236770898E-1;5.826658756E-2;-6.501103938E-2
1.366824844E0;-1.204813048E-1;4.974447563E-2;-7.566367090E-2
1.371749896E0;-1.066328809E-1;4.122237116E-2;-8.738157153E-2
1.376676510E0;-8.958865702E-2;3.909184039E-2;-9.483841807E-2
1.381601614E0;-6.295707822E-2;3.696131334E-2;-1.065563112E-1
1.386526666E0;-3.312969953E-2;3.589605168E-2;-1.182742193E-1
1.391451771E0;-9.693898261E-3;3.909184039E-2;-1.321226209E-1
1.396376823E0;6.285054609E-3;4.441815987E-2;-1.470363289E-1
1.401301875E0;2.439453453E-2;4.974447563E-2;-1.576889604E-1
1.406228229E0;3.078611381E-2;5.187500268E-2;-1.630152762E-1
1.411153333E0;3.717769682E-2;5.187500268E-2;-1.694068462E-1
1.416078385E0;4.143875092E-2;5.080974102E-2;-1.726026386E-1
1.421003489E0;4.463453591E-2;4.654868692E-2;-1.662110686E-1
1.425928541E0;4.783033580E-2;4.015710205E-2;-1.587542146E-1
1.430853594E0;5.102612078E-2;3.696131334E-2;-1.417099983E-1
1.435781041E0;5.209138244E-2;3.163499758E-2;-1.118826270E-1
1.440706146E0;5.635243654E-2;2.630867809E-2;-7.566367090E-2
1.445631198E0;7.339665294E-2;1.991709881E-2;-3.198786452E-2
1.450556302E0;9.683245420E-2;1.778656989E-2;7.426884025E-3
1.455481354E0;1.170724556E-1;1.352551766E-2;5.429847911E-2
1.460406406E0;1.373124570E-1;8.199200034E-3;1.150184944E-1
1.465333333E0;1.511608958E-1;7.133936509E-3;1.799995750E-1
1.470258437E0;1.692703664E-1;-3.229080176E-4;2.321974933E-1
1.475183489E0;1.873798519E-1;-1.310607046E-2;2.780038118E-1
1.480108594E0;2.012282759E-1;-3.441134095E-2;3.451154232E-1
1.485033646E0;2.097503841E-1;-6.636924297E-2;4.260754585E-1
1.489958698E0;2.108156532E-1;-9.726189077E-2;4.921217859E-1
1.494884791E0;2.033587992E-1;-1.238934696E-1;5.634944439E-1
1.499809896E0;1.959019601E-1;-1.483945400E-1;6.380628347E-1
1.504734948E0;1.980324835E-1;-1.792871803E-1;7.009134293E-1
1.509660052E0;2.076198459E-1;-2.144408673E-1;7.499154806E-1
1.514585104E0;2.193377614E-1;-2.474640459E-1;7.935913205E-1
1.519510156E0;2.193377614E-1;-2.762261331E-1;8.287450075E-1
1.524438594E0;2.086851150E-1;-2.996619642E-1;8.500502706E-1
1.529363698E0;1.884451061E-1;-3.071188033E-1;8.585724235E-1
1.534288750E0;1.618135273E-1;-3.113798499E-1;8.553766012E-1
1.539213854E0;1.415735185E-1;-3.124451041E-1;8.404629230E-1
1.544138906E0;1.298556179E-1;-3.103145659E-1;8.138313293E-1
1.549063958E0;1.330514103E-1;-3.071188033E-1;7.776123881E-1
1.553991666E0;1.437040418E-1;-2.985966802E-1;7.339365482E-1
1.558916771E0;1.618135273E-1;-2.847482562E-1;6.859997511E-1
1.563841823E0;1.756619513E-1;-2.655735314E-1;6.391280890E-1
1.568766927E0;1.767272055E-1;-2.378766686E-1;5.911912918E-1
1.573691979E0;1.682050973E-1;-2.059187740E-1;5.336670280E-1
1.578617031E0;1.500956267E-1;-1.675692946E-1;4.804038703E-1
1.583541614E0;1.405082494E-1;-1.356113702E-1;4.356628060E-1
1.588466719E0;1.447693110E-1;-1.015229449E-1;3.919869959E-1
1.593391771E0;1.607482731E-1;-7.169556618E-2;3.504417539E-1
1.598316875E0;1.873798519E-1;-5.039029568E-2;3.067659438E-1
