t.m;t.s;t.ms;kinect_foot_right.x;kinect_foot_right.y;kinect_foot_right.z;kinect_foot_left.x;kinect_foot_left.y;kinect_foot_left.z;kinect_hand_right.x;kinect_hand_right.y;kinect_hand_right.z;kinect_hand_left.x;kinect_hand_left.y;kinect_hand_left.z;imu_acceleration.x;imu_acceleration.y;imu_acceleration.z;imu_gravity.x;imu_gravity.y;imu_gravity.z;imu_orientation.x;imu_orientation.y;imu_orientation.z;imu_orientation.w;imu_yaw;imu_pitch;imu_roll;kinect_foot_right_orientation.x;kinect_foot_right_orientation.y;kinect_foot_right_orientation.z;kinect_foot_right_orientation.w;kinect_foot_left_orientation.x;kinect_foot_left_orientation.y;kinect_foot_left_orientation.z;kinect_foot_left_orientation.w;kinect_hand_right_orientation.x;kinect_hand_right_orientation.y;kinect_hand_right_orientation.z;kinect_hand_right_orientation.w;kinect_hand_left_orientation.x;kinect_hand_left_orientation.y;kinect_hand_left_orientation.z;kinect_hand_left_orientation.w
0;25;336;0;0;0;0;0;0;0;0;0;0;0;0;-0,48856;-2,292475;0,732234;-0,421752;0,18843;0,886749;-0,111084;0,210266;0,764526;0,598999;-104,9883;-24,94918;10,86278;0;0;0;1;0;0;0;1;-0,3840998;0,839447;-0,2029276;0,3265218;-0,03649692;-0,6938869;-0,005395251;0,7191383
0;25;345;0;0;0;0;0;0;0;0;0;0;0;0;-0,48856;-2,292475;0,732234;-0,421752;0,18843;0,886749;-0,111084;0,210266;0,764526;0,598999;-104,9883;-24,94918;10,86278;0;0;0;1;0;0;0;1;-0,3840998;0,839447;-0,2029276;0,3265218;-0,03649692;-0,6938869;-0,005395251;0,7191383
0;25;355;0;0;0;0;0;0;0;0;0;0;0;0;-0,48856;-2,292475;0,732234;-0,421752;0,18843;0,886749;-0,111084;0,210266;0,764526;0,598999;-104,9883;-24,94918;10,86278;0;0;0;1;0;0;0;1;-0,3840998;0,839447;-0,2029276;0,3265218;-0,03649692;-0,6938869;-0,005395251;0,7191383
0;25;370;0,4807148;-0,7999661;0,929517;-0,2388001;-0,4228776;1,058033;0,1793173;0,4952746;1,053425;-0,2063107;0,006716123;1,006574;-0,48856;-2,292475;0,732234;-0,421752;0,18843;0,886749;-0,111084;0,210266;0,764526;0,598999;-104,9883;-24,94918;10,86278;0;0;0;1;0;0;0;1;-0,3846451;0,8387316;-0,2037625;0,3271975;0,009234565;-0,8094724;-0,0272316;0,5864534
0;25;379;0;0;0;0;0;0;0;0;0;0;0;0;-0,48856;-2,292475;0,732234;-0,421752;0,18843;0,886749;-0,111084;0,210266;0,764526;0,598999;-104,9883;-24,94918;10,86278;0;0;0;1;0;0;0;1;-0,3846451;0,8387316;-0,2037625;0,3271975;0,009234565;-0,8094724;-0,0272316;0,5864534
0;25;389;0;0;0;0;0;0;0;0;0;0;0;0;-0,48856;-2,292475;0,732234;-0,421752;0,18843;0,886749;-0,111084;0,210266;0,764526;0,598999;-104,9883;-24,94918;10,86278;0;0;0;1;0;0;0;1;-0,3846451;0,8387316;-0,2037625;0,3271975;0,009234565;-0,8094724;-0,0272316;0,5864534
0;25;399;0,4806977;-0,7998472;0,9294408;-0,2386558;-0,4230135;1,057909;0,1795743;0,4952798;1,053288;-0,2060042;0,006879678;1,006085;-0,396425;-2,293688;0,499471;-0,438973;0,196305;0,876714;-0,116028;0,219421;0,762939;0,596863;-105,1616;-26,04036;11,32177;0;0;0;1;0;0;0;1;-0,385177;0,8379973;-0,2046063;0,327926;-0,0007280587;-0,7561134;-0,03068836;0,6537204
0;25;408;0;0;0;0;0;0;0;0;0;0;0;0;-0,396425;-2,293688;0,499471;-0,438973;0,196305;0,876714;-0,116028;0,219421;0,762939;0,596863;-105,1616;-26,04036;11,32177;0;0;0;1;0;0;0;1;-0,385177;0,8379973;-0,2046063;0,327926;-0,0007280587;-0,7561134;-0,03068836;0,6537204
0;25;417;0;0;0;0;0;0;0;0;0;0;0;0;-0,396425;-2,293688;0,499471;-0,438973;0,196305;0,876714;-0,116028;0,219421;0,762939;0,596863;-105,1616;-26,04036;11,32177;0;0;0;1;0;0;0;1;-0,385177;0,8379973;-0,2046063;0,327926;-0,0007280587;-0,7561134;-0,03068836;0,6537204
0;25;428;0,4806809;-0,7997308;0,929367;-0,2385008;-0,4231502;1,057734;0,1798294;0,4952869;1,053154;-0,2057103;0,007031393;1,005605;-0,396425;-2,293688;0,499471;-0,438973;0,196305;0,876714;-0,116028;0,219421;0,762939;0,596863;-105,1616;-26,04036;11,32177;0;0;0;1;0;0;0;1;-0,3856942;0,8373001;-0,2053993;0,3286028;-0,01257069;-0,6962062;-0,03032017;0,7170911
0;25;438;0;0;0;0;0;0;0;0;0;0;0;0;-0,396425;-2,293688;0,499471;-0,438973;0,196305;0,876714;-0,116028;0,219421;0,762939;0,596863;-105,1616;-26,04036;11,32177;0;0;0;1;0;0;0;1;-0,3856942;0,8373001;-0,2053993;0,3286028;-0,01257069;-0,6962062;-0,03032017;0,7170911
