"Time (s)";"Magnetic field x (µT)";"Magnetic field y (µT)";"Magnetic field z (µT)"
1.842437526E1;3.577075958E0;2.488408661E1;-2.696867752E1
1.843437526E1;2.974613190E0;2.321461105E1;-2.627071762E1
1.844437526E1;3.955078125E-1;2.495582581E1;-2.758797073E1
1.845437526E1;2.313426971E0;2.435037231E1;-2.758281326E1
1.846437526E1;2.972309113E0;2.321347427E1;-2.691107559E1
1.847437526E1;1.708660126E0;2.267975998E1;-2.752520370E1
1.848437526E1;1.682182312E0;2.436721802E1;-2.629788589E1
1.849437526E1;3.566711426E0;2.544581985E1;-2.698647690E1
1.850437526E1;2.936603546E0;2.489639282E1;-2.824518204E1
1.851437526E1;2.941219330E0;2.489866257E1;-2.696446609E1
1.852437526E1;4.210617065E0;2.486837769E1;-2.761323929E1
1.853437526E1;3.605857849E0;2.319776535E1;-2.755563736E1
1.854437526E1;4.208309174E0;2.486724091E1;-2.825360489E1
1.855437526E1;3.572460175E0;2.488181686E1;-2.824939346E1
1.856437526E1;5.466205597E0;2.596496201E1;-2.637654495E1
1.857437526E1;9.516460419E0;2.107781601E1;-1.459592056E1
1.858437526E1;1.013964081E1;2.162383270E1;-1.525828934E1
1.859437526E1;8.864494324E0;2.221812439E1;-1.334659195E1
1.860437526E1;7.600849152E0;2.168440247E1;-1.396072769E1
1.861437526E1;8.228641510E0;2.223269653E1;-1.334238052E1
1.862437526E1;8.882915497E0;2.109352493E1;-1.395135117E1
1.863437526E1;8.874855042E0;2.165639114E1;-1.332879257E1
1.864437526E1;1.011316681E1;2.331129837E1;-1.403096390E1
1.865437526E1;8.851825714E0;2.277871704E1;-1.400474930E1
1.866437526E1;8.874855042E0;2.165639114E1;-1.332879257E1
1.867437526E1;1.014425659E1;2.162610245E1;-1.397757339E1
1.868437526E1;1.014425659E1;2.162610245E1;-1.397757339E1
1.869437526E1;1.142401505E1;2.103409195E1;-1.460855484E1
1.870437526E1;1.142401505E1;2.103409195E1;-1.460855484E1
1.871437526E1;9.516460419E0;2.107781601E1;-1.459592056E1
1.872437526E1;1.013158417E1;2.218670273E1;-1.463572311E1
1.873437526E1;8.247066498E0;2.110809708E1;-1.394713974E1
1.874437526E1;9.493427277E0;2.220014191E1;-1.527186966E1
1.875437526E1;8.859882355E0;2.221585464E1;-1.462730026E1
1.876437526E1;8.885219574E0;2.109466171E1;-1.331099319E1
1.877437526E1;6.344123840E0;2.115409470E1;-1.265379715E1
1.878437526E1;8.873683929E0;2.108898544E1;-1.651277542E1
1.879437526E1;8.244758606E0;2.110696411E1;-1.458749771E1
1.880437526E1;8.265483856E0;1.998350525E1;-1.455189896E1
1.881437526E1;9.508407593E0;2.164067841E1;-1.397336197E1
1.882437526E1;9.487678528E0;2.276414108E1;-1.400896072E1
1.883437526E1;8.874855042E0;2.165639114E1;-1.332879257E1
1.884437526E1;9.493427277E0;2.220014191E1;-1.527186966E1
1.885437526E1;8.282768250E0;1.942518234E1;-1.261303329E1
1.886437526E1;8.236701965E0;2.166982651E1;-1.396493912E1
1.887437526E1;8.234394073E0;2.166869354E1;-1.460528946E1
1.888437526E1;9.521072388E0;2.108008575E1;-1.331520462E1
1.889437526E1;8.872550964E0;2.165525436E1;-1.396915054E1
1.890437526E1;8.263175964E0;1.998236847E1;-1.519225693E1
1.891437526E1;1.142632294E1;2.103522491E1;-1.396819687E1
1.892437526E1;8.878299713E0;2.109125519E1;-1.523206711E1
1.893437526E1;7.590484619E0;2.224613571E1;-1.397852707E1
1.894437526E1;8.877162933E0;2.165752792E1;-1.268843460E1
1.895437526E1;8.247066498E0;2.110809708E1;-1.394713974E1
1.896437526E1;8.862190247E0;2.221698761E1;-1.398694992E1
1.897437526E1;8.878299713E0;2.109125519E1;-1.523206711E1
1.898437526E1;8.263175964E0;1.998236847E1;-1.519225693E1
1.899437526E1;7.613513947E0;2.112380981E1;-1.330257034E1
1.900437526E1;8.232086182E0;2.166755676E1;-1.524565506E1
1.901437526E1;5.695598602E0;2.172926331E1;-1.330773544E1
1.902437526E1;6.329147339E0;2.171355057E1;-1.395230484E1
1.903437526E1;6.326839447E0;2.171241760E1;-1.459265518E1
1.904437526E1;8.901332855E0;1.996893311E1;-1.455611038E1
1.905437526E1;6.314167023E0;2.227301407E1;-1.525081253E1
1.906437526E1;5.058574677E0;2.117643356E1;-1.648750687E1
1.907437526E1;2.979354858E-1;2.312349701E1;-2.824678421E1
1.908437526E1;9.130592346E-1;2.423237991E1;-2.828658676E1
1.909437526E1;9.084434509E-1;2.423011017E1;-2.956730270E1
1.910437526E1;2.679786682E-1;2.424241638E1;-3.084379959E1
1.911437526E1;2.749023438E-1;2.424582291E1;-2.892273331E1
1.912437526E1;1.551219940E0;2.421894073E1;-2.765044022E1
1.913437526E1;9.291725159E-1;2.310665131E1;-2.953170395E1
1.914437526E1;9.130592346E-1;2.423237991E1;-2.828658676E1
1.915437526E1;1.567333221E0;2.309321213E1;-2.889555740E1
1.916437526E1;9.291725159E-1;2.310665131E1;-2.953170395E1
1.917437526E1;2.933197021E-1;2.312122726E1;-2.952749252E1
1.918437526E1;-9.760742188E-1;2.315151215E1;-2.887871170E1
1.919437526E1;-9.749412537E-1;2.258524323E1;-3.142233658E1
1.920437526E1;-9.944953918E-1;2.427610397E1;-2.827395248E1
1.921437526E1;9.395332336E-1;2.254492188E1;-2.951390457E1
1.922437526E1;-3.713150024E-1;2.482212448E1;-2.893631363E1
1.923437526E1;-9.657135010E-1;2.258978271E1;-2.886091232E1
1.924437526E1;-3.171920776E-1;2.201460648E1;-2.820697403E1
1.925437526E1;9.314804077E-1;2.310778809E1;-2.889134598E1
1.926437526E1;-3.321685791E-1;2.257406998E1;-2.950548172E1
1.927437526E1;9.349174500E-1;2.254265213E1;-3.079461288E1
1.928437526E1;3.036842346E-1;2.255949783E1;-2.950969315E1
1.929437526E1;3.036842346E-1;2.255949783E1;-2.950969315E1
1.930437526E1;2.836727142E0;2.306292725E1;-2.954433823E1
1.931437526E1;2.836727142E0;2.306292725E1;-2.954433823E1
1.932437526E1;3.059921265E-1;2.256063461E1;-2.886933517E1
1.933437526E1;3.059921265E-1;2.256063461E1;-2.886933517E1
1.934437526E1;2.725944519E-1;2.424468613E1;-2.956309128E1
1.935437526E1;-3.264236450E-1;2.201006699E1;-3.076839828E1
1.936437526E1;-9.680213928E-1;2.258864594E1;-2.950127029E1
1.937437526E1;2.979354858E-1;2.312349701E1;-2.824678421E1
1.938437526E1;-3.287277222E-1;2.200893402E1;-3.140874863E1
1.939437526E1;9.418411255E-1;2.254605865E1;-2.887354660E1
1.940437526E1;9.602622986E-1;2.142145920E1;-2.947831345E1
1.941437526E1;3.140487671E-1;2.199776459E1;-2.949190140E1
1.942437526E1;2.956275940E-1;2.312236404E1;-2.888713455E1
1.943437526E1;9.498977661E-1;2.198318863E1;-2.949611282E1
1.944437526E1;3.244094849E-1;2.143603516E1;-2.947410202E1
1.945437526E1;1.560409546E0;2.308980560E1;-3.081662369E1
1.946437526E1;2.956275940E-1;2.312236404E1;-2.888713455E1
1.947437526E1;3.059921265E-1;2.256063461E1;-2.886933517E1
1.948437526E1;3.059921265E-1;2.256063461E1;-2.886933517E1
1.949437526E1;-9.576568604E-1;2.202691269E1;-2.948347855E1
1.950437526E1;2.990684509E-1;2.255722809E1;-3.079040146E1
1.951437526E1;2.887039185E-1;2.311895752E1;-3.080820084E1
1.952437526E1;-3.275527954E-1;2.257633972E1;-2.822477341E1
1.953437526E1;1.589195251E0;2.140348053E1;-3.140358353E1
1.954437526E1;2.840919495E-1;2.311668777E1;-3.208891678E1
1.955437526E1;2.725944519E-1;2.424468613E1;-2.956309128E1
1.956437526E1;-3.252487183E-1;2.257747650E1;-2.758441544E1
1.957437526E1;9.429779053E-1;2.197978592E1;-3.141717148E1
1.958437526E1;1.570774078E0;2.252807617E1;-3.079882431E1
1.959437526E1;9.729309082E-1;2.086086655E1;-2.882015610E1
1.960437526E1;-3.425331116E-1;2.313579941E1;-2.952328110E1
1.961437526E1;9.498977661E-1;2.198318863E1;-2.949611282E1
1.962437526E1;3.071289062E-1;2.199436188E1;-3.141296005E1
1.963437526E1;3.140487671E-1;2.199776459E1;-2.949190140E1
1.964437526E1;1.585750580E0;2.196861267E1;-2.950032425E1
1.965437526E1;9.349174500E-1;2.254265213E1;-3.079461288E1
1.966437526E1;9.015235901E-1;2.422670746E1;-3.148836136E1
1.967437526E1;1.569641113E0;2.309434509E1;-2.825520706E1
1.968437526E1;1.544300079E0;2.421553421E1;-2.957151413E1
1.969437526E1;9.314804077E-1;2.310778809E1;-2.889134598E1
1.970437526E1;3.036842346E-1;2.255949783E1;-2.950969315E1
1.971437526E1;-3.413963318E-1;2.256953049E1;-3.206691360E1
1.972437526E1;9.291725159E-1;2.310665131E1;-2.953170395E1
1.973437526E1;1.580005646E0;2.253261566E1;-2.823740768E1
1.974437526E1;1.560409546E0;2.308980560E1;-3.081662369E1
1.975437526E1;2.842472076E0;2.249892807E1;-3.080724716E1
1.976437526E1;3.163566589E-1;2.199890137E1;-2.885154343E1
1.977437526E1;9.349174500E-1;2.254265213E1;-3.079461288E1
1.978437526E1;-9.760742188E-1;2.315151215E1;-2.887871170E1
1.979437526E1;9.291725159E-1;2.310665131E1;-2.953170395E1
1.980437526E1;-2.964630127E-1;2.089114761E1;-2.817137527E1
1.981437526E1;9.291725159E-1;2.310665131E1;-2.953170395E1
1.982437526E1;-9.576568604E-1;2.202691269E1;-2.948347855E1
1.983437526E1;3.244094849E-1;2.143603516E1;-2.947410202E1
1.984437526E1;1.567333221E0;2.309321213E1;-2.889555740E1
1.985437526E1;2.990684509E-1;2.255722809E1;-3.079040146E1
1.986437526E1;-3.321685791E-1;2.257406998E1;-2.950548172E1
1.987437526E1;-3.298606873E-1;2.257520676E1;-2.886512375E1
1.988437526E1;-3.402252197E-1;2.313693619E1;-2.888292313E1
1.989437526E1;-3.321685791E-1;2.257406998E1;-2.950548172E1
1.990437526E1;-3.321685791E-1;2.257406998E1;-2.950548172E1
1.991437526E1;-3.298606873E-1;2.257520676E1;-2.886512375E1
1.992437526E1;-1.608486176E0;2.260094833E1;-3.077776718E1
1.993437526E1;-1.019836426E0;2.539729691E1;-2.959025955E1
1.994437526E1;6.896209717E-2;2.523368454E1;-2.869248962E1
1.995437526E1;7.197914124E-1;2.465964508E1;-2.739819336E1
1.996437526E1;7.197914124E-1;2.465964508E1;-2.739819336E1
1.997437526E1;-1.784469604E0;2.246989441E1;-2.795050812E1
1.998437526E1;-2.080192566E0;2.232522964E1;-2.757184601E1
1.999437526E1;-8.107986450E-1;2.229494476E1;-2.822061920E1
2.000437526E1;1.101367950E0;2.225349426E1;-2.695254517E1
2.001437526E1;-1.933670044E-1;2.340496445E1;-2.762007141E1
2.002437526E1;-2.094802856E-1;2.453070068E1;-2.637495422E1
2.003437526E1;1.701519012E0;2.392183685E1;-2.829085541E1
