"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.713474792E0,1.046718597E1,-3.221488190E1,-3.567057037E1
3.763474792E0,9.803688049E0,-3.108026123E1,-3.762302399E1
3.813474792E0,8.542346954E0,-3.161283875E1,-3.759680176E1
3.863474792E0,1.042686844E1,-3.053423309E1,-3.828538895E1
3.913474792E0,1.049827576E1,-3.390007782E1,-3.561717987E1
3.963474792E0,1.044184875E1,-3.109369659E1,-3.698688126E1
4.013474792E0,1.044184875E1,-3.109369659E1,-3.698688126E1
4.063474792E0,1.233673096E1,-3.057682800E1,-3.765766525E1
4.113474792E0,1.108575439E1,-3.167113495E1,-3.761364746E1
4.163474792E0,1.106271744E1,-3.054880524E1,-3.828960037E1
4.213474792E0,1.042917633E1,-3.053310394E1,-3.764503098E1
4.263474792E0,1.043723297E1,-3.109596252E1,-3.826759338E1
4.313474792E0,1.045220947E1,-3.165542603E1,-3.696908188E1
4.363474792E0,9.795635223E0,-3.051739502E1,-3.700046539E1
4.413474792E0,1.044990158E1,-3.165656281E1,-3.760943604E1
4.463474792E0,9.170143127E0,-3.106455231E1,-3.697845840E1
4.513474792E0,9.816360474E0,-3.164085388E1,-3.696487045E1
4.563474792E0,1.048099136E1,-3.334175873E1,-3.755604172E1
4.613474792E0,1.107769775E1,-3.110826874E1,-3.699109268E1
4.663474792E0,1.107077408E1,-3.111167145E1,-3.891215897E1
4.713474792E0,1.044759369E1,-3.165769196E1,-3.824979401E1
4.763474792E0,1.045795822E1,-3.221942139E1,-3.823199844E1
4.813474792E0,1.236437607E1,-3.169687653E1,-3.570100403E1
4.863474792E0,1.048329926E1,-3.334062195E1,-3.691568756E1
4.913474792E0,8.544654846E0,-3.161170197E1,-3.695644760E1
4.963474792E0,9.801380157E0,-3.108139038E1,-3.826338196E1
5.013474792E0,7.835849762E0,-3.056342316E1,-3.590807343E1
5.063474792E0,8.949432373E0,-3.008348465E1,-3.789014435E1
5.113474792E0,1.019810104E1,-2.899031448E1,-3.857451630E1
5.163474792E0,6.904792786E0,-2.794455719E1,-3.679985046E1
5.213474792E0,7.575958252E0,-2.725682449E1,-3.909134674E1
5.263474792E0,8.875312805E0,-2.840603256E1,-3.714310455E1
5.313474792E0,6.986179352E0,-2.948690414E1,-3.773522949E1
5.363474792E0,5.704109192E0,-2.889603043E1,-3.774460602E1
5.413474792E0,7.024448395E0,-3.132341766E1,-3.203717422E1
5.463474792E0,4.952865601E0,-3.036513138E1,-3.052667618E1
5.513474792E0,1.243343353E0,-3.419755173E1,-3.029282188E1
5.563474792E0,3.277042389E0,-3.388195419E1,-3.116401863E1
5.613474792E0,-5.253982544E-1,-3.435509872E1,-3.048060036E1
5.663474792E0,-1.168174744E0,-3.434392929E1,-3.239745331E1
5.713474792E0,-3.040023804E0,-3.598312759E1,-3.105071449E1
5.763474792E0,-2.289047241E0,-3.762205505E1,-3.081725883E1
5.813474792E0,-3.550384521E0,-3.815464020E1,-3.079103661E1
5.863474792E0,-7.329700470E0,-3.916346359E1,-2.878360176E1
5.913474792E0,-5.437118530E0,-3.864773178E1,-3.009474373E1
5.963474792E0,-4.794345856E0,-3.865889359E1,-2.817788887E1
6.013474792E0,-7.337753296E0,-3.860059738E1,-2.816104317E1
6.063474792E0,-5.441734314E0,-3.864999771E1,-3.137545967E1
6.113474792E0,-7.349288940E0,-3.860627365E1,-3.136282539E1
6.163474792E0,-6.094867706E0,-3.807709122E1,-3.331011200E1
6.213474792E0,-7.349288940E0,-3.860627365E1,-3.136282539E1
6.263474792E0,-5.459018707E0,-3.809167099E1,-3.331432343E1
6.313474792E0,-6.078720093E0,-3.806914139E1,-2.882761955E1
6.363474792E0,-4.818553925E0,-3.810396957E1,-3.203781891E1
6.413474792E0,-4.801265717E0,-3.866230392E1,-3.009895515E1
6.463474792E0,-2.904075623E0,-3.814429092E1,-3.012938881E1
6.513474792E0,-2.468276978E0,-3.695009613E1,-3.189341927E1
6.563474792E0,-1.540542603E0,-3.955456161E1,-3.059492874E1
6.613474792E0,1.009780884E0,-3.960946274E1,-2.869070435E1
6.663474792E0,3.492145538E0,-3.686364365E1,-3.135796356E1
6.713474792E0,4.627593994E0,-3.909829712E1,-3.159160423E1
6.763474792E0,4.550437927E0,-3.516844177E1,-3.299690247E1
6.813474792E0,5.830123901E0,-3.490894318E1,-3.363313293E1
6.863474792E0,5.811679840E0,-3.321205139E1,-3.685534668E1
6.913474792E0,9.768768311E0,-3.328425980E1,-4.013885117E1
6.963474792E0,5.917648315E0,-2.897444153E1,-4.089947128E1
7.013474792E0,9.699359894E0,-2.737783813E1,-4.161849213E1
7.063474792E0,8.363769531E0,-2.520635605E1,-4.422497559E1
7.113474792E0,1.028630447E1,-2.580952835E1,-4.293909454E1
7.163474792E0,1.024598312E1,-2.412887192E1,-4.555391693E1
7.213474792E0,1.139662170E1,-2.582486343E1,-4.414643097E1
7.263474792E0,1.008346176E1,-2.354878616E1,-4.420919800E1
7.313474792E0,1.007654190E1,-2.355218887E1,-4.613026428E1
7.363474792E0,1.196567917E1,-2.247131729E1,-4.553813934E1
7.413474792E0,9.419967651E0,-2.241415787E1,-4.616164398E1
7.463474792E0,8.792171478E0,-2.296245193E1,-4.677999878E1
7.513474792E0,7.391307831E0,-2.484853363E1,-4.671916962E1
7.563474792E0,7.410900116E0,-2.540573120E1,-4.413994598E1
7.613474792E0,1.244820404E1,-2.271253967E1,-4.362226868E1
7.663474792E0,1.312781525E1,-2.497289276E1,-4.291493225E1
7.713474792E0,8.667625427E0,-2.487541199E1,-4.544687653E1
7.763474792E0,4.819118500E0,-2.310391235E1,-4.611534882E1
7.813474792E0,3.470256805E0,-1.914491272E1,-4.751222992E1
7.863474792E0,1.349224091E0,-1.897487259E1,-4.850588608E1
7.913474792E0,5.820922852E-1,-1.222294998E1,-5.063631821E1
7.963474792E0,3.693424225E0,-8.361427307E0,-4.950124741E1
8.013474792E0,5.452449799E0,2.421188354E-2,-4.785978317E1
8.063474792E0,1.232246017E1,6.604660034E0,-4.811967850E1
8.113474792E0,1.728839874E1,1.379738235E1,-4.454260635E1
8.163474792E0,1.207147217E1,2.121874619E1,-4.345957565E1
8.213474792E0,1.198512650E1,2.627773094E1,-4.169868469E1
8.263474792E0,1.070423126E1,2.743601799E1,-3.852407837E1
8.313474792E0,1.133664322E1,2.798657799E1,-3.662501907E1
8.363474792E0,1.189995193E1,3.190411949E1,-3.675381470E1
8.413474792E0,1.128826523E1,3.023009682E1,-3.861727905E1
8.463474792E0,1.004534912E1,2.857291603E1,-3.919581604E1
8.513474792E0,1.199549103E1,2.571599960E1,-4.168088913E1
8.563474792E0,1.148513412E1,1.842353058E1,-4.400673294E1
8.613474792E0,1.100125122E1,9.443599701E0,-4.755989456E1
8.663474792E0,7.999328613E0,-9.911346436E-1,-4.955282974E1
8.713474792E0,4.941135406E0,-1.246673203E1,-4.804127502E1
8.763474792E0,7.472053528E0,-2.016855621E1,-4.119133377E1
8.813474792E0,9.469432831E0,-2.470271301E1,-3.914051437E1
8.863474792E0,9.574237823E0,-2.975262451E1,-3.577855682E1
8.913474792E0,9.681201935E0,-3.391488647E1,-3.386753082E1
8.963474792E0,9.116760254E0,-3.726615906E1,-3.119511223E1
9.013474792E0,1.104687881E1,-3.847850418E1,-3.090414810E1
9.063474792E0,9.798885345E0,-3.968133545E1,-2.868989182E1
9.113474792E0,1.108095169E1,-4.027221680E1,-2.868051529E1
9.163474792E0,1.108556747E1,-4.026995087E1,-2.739980316E1
