"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.792812813E0,3.191646934E-1,8.599288940E0,4.630764961E0
2.844531823E0,4.700797200E-1,8.546588898E0,4.870312691E0
2.896252032E0,3.982154727E-1,8.594498634E0,4.824798584E0
2.947965261E0,3.670743108E-1,8.632825851E0,4.738561630E0
2.999688021E0,3.167691827E-1,8.548984528E0,4.611601830E0
3.051405573E0,2.520912290E-1,8.656781197E0,4.913431168E0
3.103110365E0,4.509159923E-1,8.628035545E0,4.829589844E0
3.154841719E0,2.832325101E-1,8.534611702E0,4.693047523E0
3.206559271E0,2.449049354E-1,8.594498634E0,4.740957260E0
3.258277396E0,2.041816115E-1,8.666361809E0,5.083510399E0
3.309956875E0,1.802268624E-1,8.743018150E0,4.736166954E0
3.361680886E0,3.814471364E-1,8.565752983E0,4.240302086E0
3.413425990E0,6.257858872E-1,8.513051987E0,4.496618271E0
3.465117032E0,5.299667716E-1,8.532216072E0,4.944573402E0
3.516831459E0,5.179893374E-1,8.616057396E0,5.203284264E0
3.568551511E0,3.910290599E-1,8.659175873E0,4.645137787E0
3.620282032E0,2.520912290E-1,8.699899673E0,4.415171623E0
3.672002136E0,3.431194425E-1,8.601684570E0,4.731375694E0
3.723706303E0,4.676844478E-1,8.570543289E0,4.647533417E0
3.775423959E0,5.203848481E-1,8.541797638E0,4.673884392E0
3.827139948E0,4.940345883E-1,8.568148613E0,4.855939865E0
3.878857813E0,2.856280208E-1,8.728645325E0,4.728980064E0
3.930604636E0,2.089726329E-1,8.695108414E0,4.669093132E0
3.982295678E0,2.976053357E-1,8.704689980E0,4.666697502E0
4.034011355E0,3.407240510E-1,8.620848656E0,4.669093132E0
4.085732136E0,4.820572734E-1,8.563357353E0,4.570878983E0
4.137450000E0,4.988254905E-1,8.635221481E0,4.757725716E0
4.189165834E0,4.533115029E-1,8.620848656E0,4.664301872E0
4.240908282E0,4.365431666E-1,8.570543289E0,4.625974655E0
4.292592188E0,3.311420083E-1,8.649594307E0,4.867917061E0
4.344331250E0,2.449049354E-1,8.632825851E0,4.793658257E0
4.396075209E0,4.557068944E-1,8.546588898E0,4.652324677E0
4.447758386E0,1.826223731E-1,8.709481239E0,4.791262627E0
4.499475417E0,4.030063748E-1,8.551380157E0,4.637951851E0
4.551193178E0,5.970401168E-1,8.522634506E0,4.657115936E0
4.602912396E0,1.802268624E-1,8.649594307E0,4.925409317E0
4.654663178E0,5.108029246E-1,8.558566093E0,4.748143196E0
4.706383230E0,3.047917485E-1,8.651989937E0,4.628369331E0
4.758065782E0,2.952099442E-1,8.532216072E0,4.683465958E0
4.809783855E0,3.455148339E-1,8.637617111E0,4.582855225E0
4.861501407E0,2.568822503E-1,8.546588898E0,4.604414940E0
4.913253282E0,3.095827699E-1,8.630431175E0,4.836776733E0
4.964929948E0,1.634585261E-1,8.733436584E0,4.673884392E0
5.016673803E0,-4.015707970E-2,8.611267090E0,4.225929260E0
5.068408073E0,-1.335808039E-1,8.874769211E0,4.882290840E0
5.120091771E0,-1.510980844E0,9.121502876E0,5.450018883E0
5.171844011E0,-1.316947222E0,8.951424599E0,5.663216591E0
5.223554219E0,-1.671174765E-1,8.369322777E0,5.342222214E0
5.275272292E0,5.970401168E-1,8.019583702E0,5.502719879E0
5.326999115E0,1.399525404E0,7.811176300E0,5.948278427E0
5.378707761E0,1.816338778E0,7.518928528E0,6.420187950E0
5.430434844E0,2.118169069E0,7.456645966E0,6.420187950E0
5.482118386E0,2.566123486E0,7.442273140E0,5.208075523E0
5.533836303E0,2.776925564E0,7.372803688E0,4.705024719E0
5.585559532E0,3.073965073E0,7.296149254E0,4.273838997E0
5.637284011E0,4.056110859E0,7.288962364E0,4.863126755E0
5.688989636E0,4.254935741E0,7.087741852E0,4.721793175E0
5.740705782E0,4.781940937E0,6.654160500E0,5.244007111E0
5.792426407E0,5.852719784E0,6.587086678E0,5.416481972E0
5.844143125E0,5.558075905E0,6.702070236E0,4.678674698E0
5.895862500E0,5.237082005E0,6.800284386E0,4.709815979E0
5.947579896E0,5.352065086E0,6.896103859E0,4.618787766E0
5.999298490E0,5.668267727E0,6.666137695E0,4.623579025E0
6.051016563E0,5.445488453E0,6.716443062E0,4.743352890E0
6.102733803E0,5.498188972E0,6.682906151E0,4.774494171E0
6.154452865E0,5.491003036E0,6.726024628E0,5.037996292E0
6.206205782E0,5.364042282E0,6.747584343E0,5.004460335E0
6.257912240E0,5.373624325E0,6.769143105E0,5.279939651E0
6.309614740E0,5.146053791E0,6.797888756E0,4.918222427E0
6.361315678E0,5.263432503E0,6.759561539E0,4.671488762E0
6.413041928E0,4.767568588E0,6.948804855E0,4.499013901E0
6.464785990E0,5.028675556E0,6.915267944E0,4.709815979E0
6.516477813E0,4.729240417E0,6.884126663E0,5.272753716E0
6.568223073E0,4.034552097E0,6.939222336E0,4.728980064E0
6.619940886E0,3.275185108E0,7.058996201E0,4.539736748E0
6.671631615E0,2.604451180E0,7.128465652E0,4.482245445E0
6.723351042E0,2.075050354E0,7.253029823E0,4.482245445E0
6.775068750E0,2.058281898E0,7.245843887E0,5.023623466E0
6.826786511E0,4.676844478E-1,7.492577553E0,5.620098114E0
6.878504271E0,-5.911171436E-1,7.811176300E0,5.675193787E0
6.930235157E0,-1.192382336E0,8.120193481E0,6.338741302E0
6.981935417E0,-1.321738124E0,7.806385040E0,7.160390854E0
